no,ci,cr,ct,pn,pl,lus,wc,bf,esd, tcag , afa , gfa , bh ,nb,tfn,nfag,nfbg,ft,dsc,dsho, ca ,dp, ac ,codr,accodr
177,Amhara media corporation,wudnew mengie B.C,amhara media corporation,"amhara media corporation nursery, Toilet",Bahir Dar,Urban,Hot,"Nursery, Toilet",No,105.99,33.42,66.84,3.2,2,2,0,0,Open,01/04/2016 E.C,01/04/2016 E.C,1114498.45,01/08/2016 E.C,1399132.29,120.00,120.00
178,DTU,Habtie tilahun B.C,Ultimate Plan PLC,Class Room Building CL-S1,Debre Tabor,Urban,Temprate,Class Room,No,574.74,260.5,521,6.77,1,2,1,0,Limited,27/05/2008 E.C,27/05/2008 E.C,6838288.87,20/03/2009 E.C,8283611.67,180.00,293.00
179,DTU,Biset Asmamaw B.C,Ultimate Plan PLC,lecture hall,Debre Tabor,Urban,Temprate,class room,No,779.3,365.86,365.86,7.87,1,1,0,0,Open,12/02/2006 E.C,15/02/2006 E.C,1258590.03,09/02/2008 E.C,2401666.06,270.00,724.00
180,DTU,Biset Asmamaw B.C,Ultimate Plan PLC,4 laundary building,Debre Tabor,Urban,Temprate,wasing basin,No,576,144,576,4.1,4,0,0,0,Open,12/02/2006 E.C,15/02/2006 E.C,2192537.76,09/02/2008 E.C,2192537.76,270.00,727.00
181,DTU,Biset Asmamaw B.C,Ultimate Plan PLC,Laboratory CYT Building,Debre Tabor,Urban,Temprate,laboratory,No,"1,769.69",647,"1,941.00",13.37,1,3,2,0,Open,12/02/2006 E.C,15/02/2006 E.C,15472195.91,09/02/2008 E.C,16297770.60,270.00,727.00
182,DTU,Biset Asmamaw B.C,Ultimate Plan PLC,Dormitory DoT1-WTV Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,253.70",297.65,"1,785.92",11.7,2,6,2,0,Open,29/10/2006 E.C,30/10/2006 E.C,14724810.73,26/01/2008 E.C,17657929.91,180.00,456.00
183,DTU,Habtie tilahun B.C,Ultimate Plan PLC,Guard House Building,Debre Tabor,Urban,Temprate,Guard House,No,9.23,49,49,4.06,1,1,0,0,Open,19/07/2006 E.C,19/07/2006 E.C,1940753.80,06/12/2008 E.C,1940753.80,210.00,867.00
184,DTU,Takele Tadele B.C,Ultimate Plan PLC,Mekane Eyesus Dormitory Do T1,Mekane Eyesus,Sub Urban,Temprate,Dormitory,No,626.85,297.65,892.96,11.7,1,3,2,0,Limited,30/04/2008 E.C,05/05/2008 E.C,7988125.36,23/09/2009 E.C,11581364.09,180.00,503.00
185,DTU,Takele Tadele B.C,Ultimate Plan PLC,2 class room Cl D1 bilding,Debre Tabor,Urban,Temprate,Class Room,No,"2,325.32",380.46,"1,119.04",9.12,2,4,2,0,Open,19/10/2004 E.C,22/10/2004 E.C,6653003.60,27/12/2007 E.C,6847146.50,180.00,1160.00
186,DTU,Takele Tadele B.C,Ultimate Plan PLC,22 lecture hall LHD building,Debre Tabor,Urban,Temprate,Class Room,No,"1,951.23",365.86,731.72,7.87,2,2,0,0,Open,19/10/2004 E.C,22/10/2004 E.C,4579765.70,27/12/2007 E.C,4795652.13,180.00,1160.00
187,DTU,Takele Tadele B.C,CDSCO,1 dormitory T3 building,Debre Tabor,Urban,Temprate,dormitory,No,361.82,215.2,645.6,10.79,1,3,2,0,Open,12/06/2006 E.C,12/02/2006 E.C,3505028.89,16/03/2008 E.C,4599778.67,270.00,764.00
